"username";"region_code";"country_code";"Identifiant";"year";"ncc_established";"ncc_established_name";"ncc_established_address";"focal_point";"fp_name";"fp_surname";"existing_plans";"web_link";"nrl_designated";"nrl_designated_name";"nrl_designated_address";"eqa_scheme";"ast_standards";"ast_standards_other";"fullreq";"num_in_fullreq";"num_out_fullreq";"num_in_out_fullreq";"num_labs_fullreq";"dataprovider";"num_in_dataprovider";"num_out_dataprovider";"num_in_out_dataprovider";"num_labs_dataprovider";"astperform";"num_labo_astperform";"amr_quality_assurance";"eqa_type";"eqa_pathogens";"num_labo_ast_18";"astperform18";"num_labo_eqa_bact";"num_labo_eqa_ast";"num_labo_eqa_ast_18";"num_pat_year_h";"num_pat_year_o";"amr_standards";"description"
"Bangladesh1";"SEA";"BGD";"1640";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"8";"8";"0";"8";"";"8";"8";"0";"8";"";"8";"1";"1";"";"8";"";"8";"";"";"";"";"";"Current AMR surveillance system is based on Case-based surveillance of clinical syndromes. But we are going to move towards Laboratory based surveillance within short time. "
"root";"EUR";"BGR";"1641";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bahrain1";"EMR";"BHR";"1642";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"10";"28";"0";"6";"";"10";"28";"0";"6";"";"6";"0";"2";"";"6";"";"";"";"UNK";"";"";"";"Bahrain has a National Action Plan on AMR approved in 2018. The functioning National AMR surveillance system produces regular reports and covers about 80% of the population. Bahrain has been enrolled in GLASS since October 2016"
"root";"AMR";"BHS";"1643";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"EUR";"BIH";"1644";"2020";"0";"";"";"";"";"";"3";"";"1";"";"";"1";"EUCAST";"";"";"0";"0";"0";"12";"UNK";"";"";"0";"12";"";"12";"1";"1";"";"";"UNK";"";"";"UNK";"";"";"";"Bosnia and Herzegovina is engaged in the CAESAR network since 2015.  AMR surveillance activities are conducted by two networks; one in the Federation of Bosnia and Herzegovina and one in Republika Srpska.   The two surveillance networks comprise 12 laboratories: - six (50% of) laboratories in the Federation of Bosnia and Herzegovina, all of which submitted data; and - six (86% of) laboratories in the Republika Srpska, all of which submitted data.  Laboratories are geographically spread within Bosnia and Herzegovina. The estimated coverage of the population is 75% in the Federation of Bosnia and Herzegovina and 85% in Republika Srpska.  The network in the Federation of Bosnia and Herzegovina comprises tertiary (17%), secondary (50%) and mixed tertiary and secondary (33%) care hospitals. The network in Republika Srpska comprises tertiary (50%) and secondary (50%) care hospitals.   Confirmatory testing of exceptional phenotypes or highly resistant microorganisms is performed at the expert laboratory (Federation of Bosnia and Herzegovina) or locally (Republika Srpska).  In both networks the AMR focal point and the data manager are responsible for collecting data from the participating laboratories. Laboratories are asked to collect antimicrobial susceptibility results for the first isolate from blood and CSF for each patient, including patient information for the period 1 January  to 31 December for each year monitored. Laboratories check their data for adherence to the CAESAR protocol, microbiological consistency and plausibility and consistency with EUCAST guidelines before submitting the data. Confirmatory testing of highly resistant microorganisms is done before the results are included in the final dataset. The data manager and AMR focal point approve the data before electronic submission to CAESAR.  "
"root";"EUR";"BLR";"1645";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"BLZ";"1646";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"BOL";"1647";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil1";"AMR";"BRA";"1648";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"5";"6";"6";"6";"";"5";"6";"6";"6";"";"6";"0";"";"";"6";"";"2";"";"";"";"";"";"Currently, 6 labs provide AMR information for GLASS, located in one state, with 5 hospital with assistance to inpatient and outpatient and 1 Lab only for N. Gonorrheae that receive samples from all the country. The system is expanding to the rest of the country. Brazil have plans to implement EQA for these Labs. We are sure that 2 Labs participate in EQA programme."
"root";"AMR";"BRB";"1649";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"WPR";"BRN";"1650";"2020";"1";"Ministry of Health";"Commonwealth Drive Bandar Seri Begawan Brunei Darussalam,  BB3910";"1";"Dr Hjh Surita ";"Hj Mohd Taib";"1";"Not available";"1";"National Clinical Microbiology Reference Laboratory";"RIPAS Hospital, Bandar Seri Begawan, Brunei Darussalam, BA1710";"1";"CLSI|EUCAST";"";"";"4";"0";"5";"0";"UNK";"";"";"1";"0";"";"1";"1";"1";"1";"";"UNK";"1";"1";"";"";"";"";"In Brunei Darussalam, AMR is on the rise with the highest rate reported with carbapenem-resistant Acinetobacter baumannii followed by carbapenem-resistant Enterobacteriaceae (CRE). These pathogens can cause plethora of infections such as respiratory infection, bloodstream infection, urinary tract infection, meningitis and intra-abdominal infection.  Carbapenem is an important antibiotic of last resort to treat Gram-negative clinical infections. Unfortunately, carbapenem-resistant emerges due to the overuse and misuse of carbapenem antibiotics. Aggravating this problem further, is the carbapenemase gene acquired by these pathogens which are carried on plasmids. It is evident that these plasmid-borne carbapenemases (IMP-like, VIM-like, NDM-like and KPC-like) have disseminated globally, causing a public health threat and further limiting therapeutic options. Therefore, old drugs such as colistin had to be repurposed alongside unorthodox combination therapy.  It is therefore of paramount importance to ensure that AMR in Brunei Darussalam in the human sector is controlled in order to prevent the ?antibiotic apocalypse? where no more antibiotic can be used to stop infections. Implementing surveillance through the use of important diagnostic tools (phenotypic, rapid testing or genotypic) are key to prevent AMR.  In the context of our diagnostic routine National Clinical Microbiology Reference Laboratory, the AMR activities includes bacterial identification, antibiotic susceptibility testing and identification of antibiotic resistance genes (ARG) using rapid lateral flow assay tests. National Clinical Microbiology Reference Laboratory also participates in External Quality Assurance program from the RCPAQAP (Royal College of Pathologists Australasia Quality Assurance Programs) and WHO GASP (Gonococcal Antimicrobial Surveillance Programme).  In addition, the term of reference for the National Surveillance Centre (National Coordinating Centre) includes:  1.	To coordinate the AMR surveillance system. This includes the collation and aggregation of data from data reporting sites (human health). While the initial emphasis is on human clinical pathogens, in line with WHO, the expectation is that AMR surveillance, in the long term, be embedded in a One Health approach. In this context, it is expected that AMR surveillance systems will develop progressively to include agriculture (including animal health) and the environment.  2.	The agreed data reporting sites are as follows:  ?	Clinical Microbiology Laboratory, Department of Laboratory Services, Ministry of Health: -	AMR data according to WHO GLASS priority pathogens (selected) and antimicrobials -	To also include data from private laboratories  ?	Department of Pharmacy Services, Ministry of Health -	Antimicrobial consumption data in defined daily dose from public and private sectors for all antimicrobials  ?	Department of Agriculture & Agrifoods, Ministry of Primary Resources and Tourism -	Data on priority pathogens: E. coli, Salmonella, Campylobacter and S. aureus from food producing animals. -	Antimicrobial consumption data in animal population  3.	To conduct surveillance data analysis, either descriptive or analytical epidemiology, at national and/or sub-national level to inform any necessary interventions.  4.	Dissemination of data to Technical Working Group (TWG)-2 (surveillance and research) and other relevant stakeholders that can support and inform recommendations of Brunei Darussalam AMR Committee (BDAMRC) including a local antimicrobial prescribing guidelines and infection control policies.  5.	Collaborate with relevant stakeholders and international partners, including WHO, to ensure appropriate analysis of national and regional initiatives. This may include identification of capacity building activities, at national and international level, for data providers, analysts, and users.  6.	To assist TWG2 in providing an annual report of surveillance activities and key findings to BDAMRC.  "
"Bhutan1";"SEA";"BTN";"1651";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"4";"4";"4";"4";"";"1";"1";"1";"1";"";"4";"1";"1";"";"1";"";"4";"";"";"";"";"";"AMR system in Bhutan is governed by National Action Plan for AMR (NAP-2018-2023). We have already designated NCC, NRL and Surveillance sites for the smooth implementation of AMR related activities. NCC coordinates all the AMR related activities and NRL provides technical support. We have one NRL and 4 surveillance sites with their defined terms of references and mandates. NRL and surveillance sites participates in external quality scheme that is in Newzealand (PPTC)."
"root";"AFR";"BWA";"1652";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"CAF";"1653";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Canada_3";"AMR";"CAN";"1654";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI|EUCAST";"";"";"73";"0";"0";"11";"";"70";"0";"0";"11";"";"73";"1";"1";"";"81";"";"81";"";"";"";"";"";"The Canadian Antimicrobial Resistance Surveillance System (CARSS) is Canada's national focal point for surveillance of AMR and antimicrobial use. It integrates surveillance data from nine surveillance systems and laboratory reference services operated by the Public Health Agency of Canada and it's partners. The Federal Action Plan on Antimicrobial Resistance and Use in Canada was published in 2015. Canada has enrolled in GLASS in November 2016"
"Switzerland1";"EUR";"CHE";"1655";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"0";"0";"157";"33";"";"0";"0";"157";"33";"";"33";"0";"";"";"33";"";"33";"";"";"";"";"";"The Swiss Antibiotic Resistance Centre (www.anresis.ch) was established in 2004, is located at the University of Berne and is financially supported by the Swiss Federal Office of Public Health and the University of Berne. It collects all routinely performed AMR results from actually 33 laboratories distributed all over Switzerland and covering >85% of all hospitalization days. Besides samples from hospitals, it also includes samples from private physicians and long term facilities. All participating laboratories are participating in at least one external quality program. AMR results are reported as delivered by the laboratories. All laboratories use EUCAST guidelines. For difficult to detect or new resistance mechanisms samples may be sent to the National Reference Center for Early Detection of New Antibiotic Resistance Mechanisms (https://www3.unifr.ch/med/nara/de/) for verification. ANRESIS is participating in CAESAR since 2010 and in GLASS since 2016. "
"root";"AMR";"CHL";"1656";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"WPR";"CHN";"1657";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"WHO_CIV2";"AFR";"CIV";"1658";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"29";"10";"13";"0";"";"29";"10";"23";"0";"";"23";"1";"1";"";"39";"";"";"";"UNK";"";"";"";"- Mapping of multi-resistant bacteria in the health regions of Côte d'Ivoire (CDC-GHSA)  - Prevention and Control of Healthcare-Related Infections (MTaPS-USAID)  - Monitoring the emergence of resistance due to antibiotic residues in lagoon waters  - AMR Governance Implementation Meetings  - Drafting and validation of the national multisectoral action plan / Côte d'Ivoire - Establishment of the Multi-sectional Technical Committees and the GMC (multisectoral coordination group) in accordance with the strategic objectives of the national action plan.  - Development of a national guide for phenotypic and genotypic AMR detection that takes into account all microorganisms from the three sectors of humans, animals and the environment.  "
"root";"AFR";"CMR";"1659";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"COD";"1660";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"COG";"1661";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"WPR";"COK";"1662";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"COL";"1663";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"COM";"1664";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"CPV";"1665";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"CRI";"1666";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"CUB";"1667";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Praha1";"EUR";"CZE";"1668";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"70";"0";"0";"60";"";"70";"0";"0";"50";"";"60";"1";"1";"";"50";"";"50";"";"";"";"";"";"Data on resistance in the Czech Republic are provided by the National Reference Laboratory (NRL) for antibiotics at the National Institute of Public Health (SZÚ). The NRL for Antibiotics is the national coordinator of the European Antibiotic Resistance Surveillance Network (EARS-Net) and GLASS. NRL for Antibiotics monitors antibiotic resistance in the cause of invasive infections and also provides national surveillance of the most important community bacterial infectious agents (acquired outside healthcare facilities). NRL cooperates with working group for monitoring (antibiotic) resistance (PSMR) which was established in 1990. Since 2011, PSMR has joined representatives of more than 50 microbiological laboratories in the Czech Republic, whose catchment area covers approximately 80% of the population of the Czech Republic. Participation in PSMR is voluntary, PSMR members apply for individual projects according to the possibilities of the laboratory. All collected data are obtained in the process of normal daily routine under the conditions of good laboratory practice."
"Deutschland3";"EUR";"DEU";"1669";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"676";"19525";"0";"54";"";"676";"19525";"0";"54";"";"54";"1";"1";"";"54";"";"38";"";"";"";"";"";""
"root";"EMR";"DJI";"1670";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"DMA";"1671";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"DNK";"1672";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"DOM";"1673";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"DZA";"1674";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"ECU";"1675";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"EMR";"EGY";"1676";"2020";"2";"";"";"";"";"";"0";"";"1";"";"";"1";"CLSI";"";"";"39";"0";"0";"39";"";"39";"0";"0";"39";"";"39";"1";"1";"";"1";"";"1";"";"";"";"";"";" Data submitted to the GLASS was extracted from the national HAI & AMR surveillance implemented in the intensive care units in 39 hospitals in Egypt. "
"root";"AFR";"ERI";"1677";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"ESP";"1678";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"EST";"1679";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethiopia1";"AFR";"ETH";"1680";"2020";"2";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"8";"1";"9";"9";"";"8";"1";"9";"9";"";"9";"1";"1";"";"9";"";"9";"";"";"";"";"";"The National reference laboratory (Clinical  bacteriology and mycology) has a mandate to coordinate laboratory based AMR surveillance system. there is periodic microbiology mentor ship program and isolate and AST confirmation for all participating sentinel sites. Hospitals that participate in the AMR surveillance system submit data to NRL entering in whonet by email. The national data manager merge all the data, clean and submit to GLASS. Sentinel sites are at Addis Ababa, and different regions of the country. "
"Finland2";"EUR";"FIN";"1681";"2020";"1";"";"";"";"";"";"0";"";"1";"";"";"1";"EUCAST";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"";"23";"0";"";"";"22";"";"22";"";"";"";"";"";"Communicable Diseases Act (1227/2016) requires comprehensive surveillance of AMR. Both the public and animal health sectors have well-established AMR surveillance and reporting systems. Clinical laboratories in the public health sector perform susceptibility testing for all clinically important bacteria. All clinical microbiology laboratories including private laboratories are participating in surveillance. National Institute for Health and Welfare collects susceptibility data from clinical laboratories. Results are published yearly in the Finres report."
"root";"WPR";"FJI";"1682";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"EUR";"FRA";"1683";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST|O";"CA-SFM";"";"991";"0";"0";"1246";"UNK";"";"";"991";"1246";"UNK";"";"1";"1";"";"";"UNK";"1246";"";"";"";"";"";"French current national AMR surveillance gathered two networks :  -  SPARES network collect data from voluntary hospital settings. Data collected included administrative data (number of patient-days) and laboratory data: susceptibility to various antibiotics of strains of Staphylococcus aureus, Enterococcus faecalis, Enterococcus faecium, Pseudomonas aeruginosa, Acinetobacter baumannii and enterobacteriaceae isolated from diagnostic samples from inpatients. Data from 991 healthcare facilities accounting for 50% of hospital beds in France, were analysed in 2019. SPARES network also collect data on antibiotic consumption in healthcare settings.  - PRIMO network collect data from voluntary community laboratories on community patients or patients in LTCF. In 2019, 1 016 community laboratories and 230 hospital laboratories for LTCF have been involved in this surveillance. Data collected come in majority from strains isolated in unary samples.  In addition, data from three hospital laboratories networks (get together in Onerba network) are sent to ECDC as the French contribution to EARS-Net. In 2019, 193 laboratories for S. pneumoniae and 46 laboratories for the other EARS-Net pathogens participating in this surveillance. "
"root";"WPR";"FSM";"1684";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"AFR";"GAB";"1685";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"2";"UNK";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"";"2";"0";"";"";"";"UNK";"";"";"UNK";"";"";"";"Due to the challanges linked to data collection in hospitals, the AMR surveillance system is currently only based on the surveillance  done at the national reference laboratories "
"Scotland1";"EUR";"GBR";"1686";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI|EUCAST";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"";"107";"1";"1";"";"149";"";"";"";"UNK";"";"";"";"AMR surveillance in the UK is coordinated by Public Health England, Public Health Agency Northern Ireland, NHS National Servies Scotland and Public Health Wales. The UK has a Five Year National Action Plan (2019 to 2024) and a Twenty Year Vision for AMR. The UK participates in EARS-Net, Euro-GASP and FWD-Net and has been enrolled in GLASS since July 2017 "
