"COUNTRY";"YEAR";"SPECIMEN";"GENDER";"ORIGIN";"AGEGROUP";"NUMSAMPLEDPATIENTS";"BATCHID"
"ZAF";"2015";"BLOOD";"F";"HO";"45<54";"17";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"45<54";"18";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"55<64";"19";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"55<64";"16";"DS1"
"ZAF";"2015";"BLOOD";"F";"UNK";"65<74";"1093";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"65<74";"14";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"65<74";"12";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"75<84";"5";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"75<84";"9";"DS1"
"ZAF";"2015";"BLOOD";"F";"HO";"85<";"2";"DS1"
"ZAF";"2015";"BLOOD";"F";"CO";"85<";"2";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"UNK";"328";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"01<04";"969";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"01<04";"1";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"01<04";"4";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"<1";"3922";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"<1";"21";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"<1";"12";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"05<14";"696";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"05<14";"3";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"05<14";"7";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"15<24";"1166";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"15<24";"8";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"15<24";"5";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"25<34";"2490";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"25<34";"14";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"25<34";"15";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"35<44";"2616";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"35<44";"12";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"35<44";"15";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"45<54";"2091";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"45<54";"12";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"45<54";"12";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"55<64";"1779";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"55<64";"8";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"55<64";"12";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"65<74";"1244";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"65<74";"4";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"65<74";"7";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"75<84";"546";"DS1"
"ZAF";"2016";"BLOOD";"M";"HO";"75<84";"3";"DS1"
"ZAF";"2016";"BLOOD";"M";"CO";"75<84";"2";"DS1"
"ZAF";"2016";"BLOOD";"M";"UNK";"85<";"129";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"UNK";"330";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"01<04";"825";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"01<04";"1";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"01<04";"5";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"<1";"3198";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"<1";"12";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"<1";"15";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"05<14";"634";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"05<14";"1";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"05<14";"3";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"15<24";"1832";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"15<24";"3";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"15<24";"12";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"25<34";"3398";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"25<34";"8";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"25<34";"3";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"35<44";"2559";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"35<44";"6";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"35<44";"3";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"45<54";"1853";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"45<54";"6";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"45<54";"5";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"55<64";"1820";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"55<64";"10";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"55<64";"2";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"65<74";"1378";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"65<74";"6";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"75<84";"784";"DS1"
"ZAF";"2016";"BLOOD";"F";"HO";"75<84";"1";"DS1"
"ZAF";"2016";"BLOOD";"F";"CO";"75<84";"2";"DS1"
"ZAF";"2016";"BLOOD";"F";"UNK";"85<";"267";"DS1"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"UNK";"348";"DS1"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"<1";"517";"DS1"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"35<44";"55";"DS1"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"45<54";"55";"DS1"
"ZAF";"2015";"BLOOD";"M";"UNK";"UNK";"4997";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"01<04";"5121";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"01<04";"2";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"01<04";"24";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"<1";"14426";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"<1";"3";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"<1";"31";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"05<14";"1";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"05<14";"15";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"15<24";"2130";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"15<24";"2";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"15<24";"13";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"25<34";"4567";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"25<34";"7";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"25<34";"51";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"35<44";"4865";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"35<44";"3";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"35<44";"77";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"45<54";"3905";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"45<54";"4";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"45<54";"35";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"55<64";"3182";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"55<64";"1";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"55<64";"16";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"65<74";"2150";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"65<74";"6";"DS2"
"ZAF";"2015";"BLOOD";"M";"UNK";"75<84";"996";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"75<84";"1";"DS2"
"ZAF";"2015";"BLOOD";"M";"CO";"75<84";"2";"DS2"
"ZAF";"2015";"BLOOD";"M";"HO";"85<";"1";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"UNK";"5594";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"01<04";"4166";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"01<04";"1";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"01<04";"22";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"<1";"12720";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"<1";"5";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"<1";"31";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"05<14";"2547";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"05<14";"2";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"05<14";"16";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"15<24";"3474";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"15<24";"19";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"25<34";"6216";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"25<34";"9";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"25<34";"50";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"35<44";"4699";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"35<44";"4";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"35<44";"50";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"45<54";"3492";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"45<54";"35";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"55<64";"3260";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"55<64";"3";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"55<64";"26";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"65<74";"2323";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"65<74";"2";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"65<74";"9";"DS2"
"ZAF";"2015";"BLOOD";"F";"UNK";"75<84";"1662";"DS2"
"ZAF";"2015";"BLOOD";"F";"HO";"75<84";"1";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"75<84";"10";"DS2"
"ZAF";"2015";"BLOOD";"F";"CO";"85<";"3";"DS2"
"ZAF";"2015";"BLOOD";"UNK";"UNK";"<1";"2071";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"UNK";"4444";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"01<04";"4982";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"01<04";"3";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"01<04";"12";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"<1";"14300";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"<1";"2";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"<1";"11";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"05<14";"3017";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"05<14";"1";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"05<14";"8";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"15<24";"2331";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"15<24";"1";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"15<24";"4";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"25<34";"5051";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"25<34";"16";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"35<44";"5377";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"35<44";"1";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"35<44";"41";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"45<54";"4294";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"45<54";"1";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"45<54";"11";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"55<64";"3573";"DS2"
"ZAF";"2016";"BLOOD";"M";"HO";"55<64";"4";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"55<64";"10";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"65<74";"2418";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"65<74";"3";"DS2"
"ZAF";"2016";"BLOOD";"M";"UNK";"75<84";"1042";"DS2"
"ZAF";"2016";"BLOOD";"M";"CO";"85<";"3";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"UNK";"4911";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"01<04";"3958";"DS2"
"ZAF";"2016";"BLOOD";"F";"HO";"01<04";"1";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"01<04";"5";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"<1";"12374";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"<1";"10";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"05<14";"2469";"DS2"
"ZAF";"2016";"BLOOD";"F";"HO";"05<14";"1";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"05<14";"5";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"15<24";"3584";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"15<24";"6";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"25<34";"6550";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"25<34";"17";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"35<44";"5126";"DS2"
"ZAF";"2016";"BLOOD";"F";"HO";"35<44";"1";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"35<44";"24";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"45<54";"3815";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"45<54";"15";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"55<64";"3622";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"55<64";"17";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"65<74";"2774";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"65<74";"5";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"75<84";"1650";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"75<84";"6";"DS2"
"ZAF";"2016";"BLOOD";"F";"UNK";"85<";"610";"DS2"
"ZAF";"2016";"BLOOD";"F";"CO";"85<";"1";"DS2"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"UNK";"1543";"DS2"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"<1";"2053";"DS2"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"05<14";"155";"DS2"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"15<24";"64";"DS2"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"25<34";"117";"DS2"
"ZAF";"2016";"BLOOD";"UNK";"UNK";"35<44";"122";"DS2"
"ZAF";"2013";"BLOOD";"M";"UNK";"UNK";"3278";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"UNK";"6";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"01<04";"3937";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"01<04";"3";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"01<04";"30";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"<1";"11079";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"<1";"4";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"<1";"36";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"05<14";"2216";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"05<14";"3";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"05<14";"14";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"15<24";"1355";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"15<24";"4";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"15<24";"11";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"25<34";"2667";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"25<34";"3";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"25<34";"38";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"35<44";"2675";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"35<44";"1";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"35<44";"61";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"45<54";"2099";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"45<54";"4";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"45<54";"33";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"55<64";"1810";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"55<64";"1";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"55<64";"18";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"65<74";"11";"DS1"
"ZAF";"2013";"BLOOD";"M";"UNK";"75<84";"550";"DS1"
"ZAF";"2013";"BLOOD";"M";"HO";"75<84";"1";"DS1"
"ZAF";"2013";"BLOOD";"M";"CO";"75<84";"3";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"UNK";"3604";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"UNK";"8";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"01<04";"3168";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"01<04";"4";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"01<04";"34";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"<1";"9476";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"<1";"6";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"<1";"34";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"05<14";"1700";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"05<14";"19";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"15<24";"2214";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"15<24";"3";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"15<24";"23";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"25<34";"3471";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"25<34";"4";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"25<34";"58";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"35<44";"2607";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"35<44";"5";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"35<44";"47";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"45<54";"1871";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"45<54";"35";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"55<64";"1674";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"55<64";"1";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"55<64";"18";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"65<74";"1362";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"65<74";"1";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"65<74";"16";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"75<84";"819";"DS1"
"ZAF";"2013";"BLOOD";"F";"HO";"75<84";"1";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"75<84";"7";"DS1"
"ZAF";"2013";"BLOOD";"F";"UNK";"85<";"302";"DS1"
"ZAF";"2013";"BLOOD";"F";"CO";"85<";"4";"DS1"
"ZAF";"2013";"BLOOD";"UNK";"UNK";"UNK";"953";"DS1"
"ZAF";"2013";"BLOOD";"UNK";"CO";"55<64";"1";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"UNK";"4226";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"01<04";"4730";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"01<04";"4";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"01<04";"33";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"<1";"13674";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"<1";"4";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"<1";"44";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"05<14";"2583";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"05<14";"3";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"05<14";"24";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"15<24";"1564";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"15<24";"1";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"15<24";"7";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"25<34";"3341";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"25<34";"2";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"25<34";"29";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"35<44";"3302";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"35<44";"3";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"35<44";"54";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"45<54";"2695";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"45<54";"2";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"45<54";"31";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"55<64";"2239";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"55<64";"6";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"55<64";"15";"DS1"
"ZAF";"2014";"BLOOD";"M";"UNK";"65<74";"1485";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"65<74";"2";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"65<74";"8";"DS1"
"ZAF";"2014";"BLOOD";"M";"HO";"75<84";"1";"DS1"
"ZAF";"2014";"BLOOD";"M";"CO";"75<84";"6";"DS1"
"ZAF";"2014";"BLOOD";"F";"UNK";"UNK";"4723";"DS1"
"ZAF";"2014";"BLOOD";"F";"CO";"UNK";"1";"DS1"
"ZAF";"2014";"BLOOD";"F";"UNK";"01<04";"3742";"DS1"
"ZAF";"2014";"BLOOD";"F";"HO";"01<04";"2";"DS1"
"ZAF";"2014";"BLOOD";"F";"CO";"01<04";"27";"DS1"
"ZAF";"2014";"BLOOD";"F";"UNK";"<1";"12103";"DS1"
"ZAF";"2014";"BLOOD";"F";"HO";"<1";"4";"DS1"
"ZAF";"2014";"BLOOD";"F";"CO";"<1";"26";"DS1"
"ZAF";"2014";"BLOOD";"F";"UNK";"05<14";"2123";"DS1"
"ZAF";"2014";"BLOOD";"F";"HO";"05<14";"1";"DS1"
"ZAF";"2014";"BLOOD";"F";"CO";"05<14";"16";"DS1"
"ZAF";"2014";"BLOOD";"F";"UNK";"15<24";"2527";"DS1"
"ZAF";"2014";"BLOOD";"F";"HO";"15<24";"1";"DS1"
"ZAF";"2014";"BLOOD";"F";"CO";"15<24";"21";"DS1"
"ZAF";"2014";"BLOOD";"F";"UNK";"25<34";"4404";"DS1"
"ZAF";"2014";"BLOOD";"F";"HO";"25<34";"2";"DS1"
"ZAF";"2014";"BLOOD";"F";"CO";"25<34";"48";"DS1"
