iso3,year,value,hic
GRL,2016,,High income
GTM,2016,,Low and middle income
GUM,2016,,High income
GUY,2016,,Low and middle income
HND,2016,,Low and middle income
HRV,2016,,High income
HTI,2016,,Low and middle income
HUN,2016,,High income
IDN,2016,,Low and middle income
IND,2016,,Low and middle income
IRL,2016,,High income
IRN,2016,,Low and middle income
IRQ,2016,,Low and middle income
ISL,2016,,High income
ISR,2016,,High income
ITA,2016,,High income
JAM,2016,,Low and middle income
JOR,2016,,Low and middle income
JPN,2016,18.94,High income
KAZ,2016,,Low and middle income
KEN,2016,,Low and middle income
KGZ,2016,,Low and middle income
KHM,2016,,Low and middle income
KIR,2016,,Low and middle income
KNA,2016,,High income
KOR,2016,35.33,High income
KWT,2016,,High income
LAO,2016,,Low and middle income
LBN,2016,48.53,Low and middle income
LBR,2016,,Low and middle income
LBY,2016,,Low and middle income
LCA,2016,,Low and middle income
LKA,2016,,Low and middle income
LSO,2016,,Low and middle income
LTU,2016,9.7,High income
LUX,2016,,High income
LVA,2016,28.24,High income
MAR,2016,,Low and middle income
MCO,2016,,High income
MDA,2016,,Low and middle income
MDG,2016,,Low and middle income
MDV,2016,,Low and middle income
MEX,2016,,Low and middle income
MHL,2016,,Low and middle income
MLI,2016,,Low and middle income
MLT,2016,,High income
MMR,2016,,Low and middle income
MNE,2016,,Low and middle income
MNG,2016,,Low and middle income
MNP,2016,,High income
MOZ,2016,,Low and middle income
MRT,2016,,Low and middle income
MSR,2016,,Low and middle income
MUS,2016,,High income
MWI,2016,78.52,Low and middle income
MYS,2016,,Low and middle income
NAM,2016,,Low and middle income
NCL,2016,,High income
NER,2016,,Low and middle income
NGA,2016,,Low and middle income
NIC,2016,,Low and middle income
NIU,2016,,Low and middle income
NLD,2016,,High income
NOR,2016,5.58,High income
NPL,2016,,Low and middle income
NRU,2016,,High income
NZL,2016,,High income
OMN,2016,,High income
PAK,2016,,Low and middle income
PAN,2016,,High income
PER,2016,,Low and middle income
PHL,2016,38.02,Low and middle income
PLW,2016,,High income
PNG,2016,,Low and middle income
POL,2016,,High income
PRI,2016,,High income
PRK,2016,,Low and middle income
PRT,2016,,High income
PRY,2016,,Low and middle income
PYF,2016,,High income
QAT,2016,,High income
ROU,2016,,High income
RUS,2016,,Low and middle income
RWA,2016,,Low and middle income
SAU,2016,,High income
SDN,2016,,Low and middle income
SEN,2016,,Low and middle income
SGP,2016,,High income
SLB,2016,,Low and middle income
SLE,2016,,Low and middle income
SLV,2016,,Low and middle income
SMR,2016,,High income
SOM,2016,,Low and middle income
SRB,2016,,Low and middle income
SSD,2016,,Low and middle income
STP,2016,,Low and middle income
SUR,2016,,Low and middle income
SVK,2016,,High income
SVN,2016,,High income
SWE,2016,,High income
SXM,2016,,High income
SYC,2016,,High income
SYR,2016,,Low and middle income
TCA,2016,,High income
TCD,2016,,Low and middle income
TGO,2016,,Low and middle income
THA,2016,40.29,Low and middle income
TJK,2016,,Low and middle income
TKL,2016,,Low and middle income
TKM,2016,,Low and middle income
TLS,2016,,Low and middle income
TON,2016,,Low and middle income
TTO,2016,,High income
TUN,2016,25.46,Low and middle income
TUR,2016,,Low and middle income
TUV,2016,,Low and middle income
TZA,2016,,Low and middle income
UGA,2016,,Low and middle income
UKR,2016,,Low and middle income
URY,2016,,High income
USA,2016,,High income
UZB,2016,,Low and middle income
VCT,2016,,Low and middle income
VEN,2016,,Low and middle income
VGB,2016,,High income
VNM,2016,,Low and middle income
VUT,2016,,Low and middle income
WLF,2016,,Low and middle income
WSM,2016,,Low and middle income
YEM,2016,,Low and middle income
ZAF,2016,,Low and middle income
ZMB,2016,61.9,Low and middle income
ZWE,2016,,Low and middle income
ABW,2017,,High income
AFG,2017,,Low and middle income
AGO,2017,,Low and middle income
AIA,2017,,Low and middle income
ALB,2017,,Low and middle income
AND,2017,,High income
ARE,2017,48.07,High income
ARG,2017,18.4,Low and middle income
ARM,2017,,Low and middle income
ASM,2017,,Low and middle income
ATG,2017,,High income
AUS,2017,,High income
AUT,2017,9.6,High income
AZE,2017,,Low and middle income
BDI,2017,,Low and middle income
BEL,2017,,High income
BEN,2017,,Low and middle income
BFA,2017,,Low and middle income
BGD,2017,,Low and middle income
BGR,2017,,Low and middle income
BHR,2017,50,High income
BHS,2017,,High income
BIH,2017,24.9,Low and middle income
BLR,2017,,Low and middle income
BLZ,2017,,Low and middle income
BMU,2017,,High income
BOL,2017,,Low and middle income
BRA,2017,,Low and middle income
BRB,2017,,High income
BRN,2017,,High income
BTN,2017,,Low and middle income
BWA,2017,,Low and middle income
CAF,2017,,Low and middle income
CAN,2017,,High income
CHE,2017,9.45,High income
CHL,2017,,High income
CHN,2017,,Low and middle income
CMR,2017,,Low and middle income
COD,2017,,Low and middle income
COG,2017,,Low and middle income
COK,2017,,Low and middle income
COL,2017,,Low and middle income
COM,2017,,Low and middle income
CPV,2017,,Low and middle income
CRI,2017,,Low and middle income
CUB,2017,,Low and middle income
CYM,2017,,High income
CYP,2017,30.8,High income
CZE,2017,14.2,High income
DEU,2017,12.28,High income
DJI,2017,,Low and middle income
DMA,2017,,Low and middle income
DNK,2017,,High income
DOM,2017,,Low and middle income
DZA,2017,,Low and middle income
ECU,2017,,Low and middle income
EGY,2017,,Low and middle income
ERI,2017,,Low and middle income
ESP,2017,,High income
EST,2017,,High income
ETH,2017,,Low and middle income
FIN,2017,6.14,High income
FJI,2017,,Low and middle income
FRA,2017,10.22,High income
FSM,2017,,Low and middle income
GAB,2017,,Low and middle income
GBR,2017,10.26,High income
GEO,2017,47.06,Low and middle income
GHA,2017,,Low and middle income
GIN,2017,,Low and middle income
GMB,2017,,Low and middle income
GNB,2017,,Low and middle income
GNQ,2017,,Low and middle income
GRC,2017,18.3,High income
GRD,2017,,Low and middle income
GRL,2017,,High income
GTM,2017,,Low and middle income
GUM,2017,,High income
GUY,2017,,Low and middle income
HND,2017,,Low and middle income
HRV,2017,16.5,High income
HTI,2017,,Low and middle income
HUN,2017,,High income
IDN,2017,,Low and middle income
IND,2017,75.11,Low and middle income
IRL,2017,11.98,High income
IRN,2017,90,Low and middle income
IRQ,2017,,Low and middle income
ISL,2017,,High income
ISR,2017,,High income
ITA,2017,,High income
JAM,2017,,Low and middle income
JOR,2017,,Low and middle income
JPN,2017,19.62,High income
KAZ,2017,,Low and middle income
KEN,2017,,Low and middle income
KGZ,2017,,Low and middle income
KHM,2017,,Low and middle income
KIR,2017,,Low and middle income
KNA,2017,,High income
KOR,2017,32.39,High income
KWT,2017,,High income
LAO,2017,45.28,Low and middle income
LBN,2017,46.15,Low and middle income
LBR,2017,,Low and middle income
LBY,2017,,Low and middle income
LCA,2017,,Low and middle income
LKA,2017,,Low and middle income
LSO,2017,,Low and middle income
LTU,2017,12.5,High income
LUX,2017,,High income
LVA,2017,18.02,High income
MAR,2017,,Low and middle income
MCO,2017,,High income
MDA,2017,,Low and middle income
MDG,2017,,Low and middle income
MDV,2017,,Low and middle income
MEX,2017,,Low and middle income
MHL,2017,,Low and middle income
MLI,2017,,Low and middle income
MLT,2017,15.89,High income
MMR,2017,,Low and middle income
MNE,2017,,Low and middle income
MNG,2017,,Low and middle income
MNP,2017,,High income
MOZ,2017,,Low and middle income
MRT,2017,,Low and middle income
MSR,2017,,Low and middle income
MUS,2017,,High income
MWI,2017,71.91,Low and middle income
MYS,2017,27.37,Low and middle income
NAM,2017,,Low and middle income
NCL,2017,,High income
NER,2017,,Low and middle income
NGA,2017,77.19,Low and middle income
NIC,2017,,Low and middle income
NIU,2017,,Low and middle income
NLD,2017,6.16,High income
NOR,2017,5.87,High income
NPL,2017,,Low and middle income
NRU,2017,,High income
NZL,2017,,High income
OMN,2017,49.48,High income
PAK,2017,86.21,Low and middle income
PAN,2017,,High income
PER,2017,,Low and middle income
PHL,2017,39.56,Low and middle income
PLW,2017,,High income
PNG,2017,,Low and middle income
POL,2017,16.68,High income
PRI,2017,,High income
PRK,2017,,Low and middle income
PRT,2017,,High income
PRY,2017,,Low and middle income
PYF,2017,,High income
QAT,2017,,High income
ROU,2017,,High income
RUS,2017,73.08,Low and middle income
RWA,2017,,Low and middle income
SAU,2017,50.85,High income
SDN,2017,,Low and middle income
SEN,2017,,Low and middle income
SGP,2017,,High income
SLB,2017,,Low and middle income
SLE,2017,,Low and middle income
SLV,2017,,Low and middle income
SMR,2017,,High income
SOM,2017,,Low and middle income
SRB,2017,,Low and middle income
SSD,2017,,Low and middle income
STP,2017,,Low and middle income
SUR,2017,,Low and middle income
SVK,2017,,High income
SVN,2017,,High income
SWE,2017,7.36,High income
SXM,2017,,High income
SYC,2017,,High income
SYR,2017,,Low and middle income
TCA,2017,,High income
TCD,2017,,Low and middle income
TGO,2017,,Low and middle income
THA,2017,41.72,Low and middle income
TJK,2017,,Low and middle income
TKL,2017,,Low and middle income
TKM,2017,,Low and middle income
TLS,2017,,Low and middle income
TON,2017,,Low and middle income
TTO,2017,,High income
TUN,2017,35.9,Low and middle income
TUR,2017,,Low and middle income
TUV,2017,,Low and middle income
TZA,2017,,Low and middle income
UGA,2017,46.15,Low and middle income
UKR,2017,,Low and middle income
URY,2017,,High income
USA,2017,,High income
UZB,2017,,Low and middle income
VCT,2017,,Low and middle income
VEN,2017,,Low and middle income
VGB,2017,,High income
VNM,2017,,Low and middle income
VUT,2017,,Low and middle income
WLF,2017,,Low and middle income
WSM,2017,,Low and middle income
YEM,2017,,Low and middle income
ZAF,2017,,Low and middle income
ZMB,2017,51.52,Low and middle income
ZWE,2017,,Low and middle income
ABW,2018,,High income
AFG,2018,,Low and middle income
AGO,2018,,Low and middle income
AIA,2018,,Low and middle income
ALB,2018,,Low and middle income
AND,2018,,High income
ARE,2018,48.43,High income
ARG,2018,20,Low and middle income
ARM,2018,,Low and middle income
ASM,2018,,Low and middle income
ATG,2018,,High income
AUS,2018,,High income
AUT,2018,10.2,High income
AZE,2018,,Low and middle income
BDI,2018,,Low and middle income
BEL,2018,,High income
BEN,2018,,Low and middle income
BFA,2018,,Low and middle income
BGD,2018,70,Low and middle income
BGR,2018,,Low and middle income
BHR,2018,43.2,High income
BHS,2018,,High income
BIH,2018,20.2,Low and middle income
BLR,2018,,Low and middle income
BLZ,2018,,Low and middle income
BMU,2018,,High income
BOL,2018,,Low and middle income
BRA,2018,15.9,Low and middle income
BRB,2018,,High income
BRN,2018,,High income
BTN,2018,,Low and middle income
BWA,2018,,Low and middle income
CAF,2018,,Low and middle income
CAN,2018,,High income
CHE,2018,10.38,High income
CHL,2018,,High income
CHN,2018,,Low and middle income
CMR,2018,,Low and middle income
COD,2018,,Low and middle income
COG,2018,,Low and middle income
COK,2018,,Low and middle income
COL,2018,,Low and middle income
COM,2018,,Low and middle income
CPV,2018,,Low and middle income
CRI,2018,,Low and middle income
CUB,2018,,Low and middle income
CYM,2018,,High income
CYP,2018,37.1,High income
CZE,2018,15.2,High income
DEU,2018,12.18,High income
DJI,2018,,Low and middle income
DMA,2018,,Low and middle income
DNK,2018,,High income
DOM,2018,,Low and middle income
DZA,2018,,Low and middle income
ECU,2018,,Low and middle income
EGY,2018,97.87,Low and middle income
ERI,2018,,Low and middle income
ESP,2018,,High income
EST,2018,,High income
ETH,2018,100,Low and middle income
FIN,2018,7.59,High income
FJI,2018,,Low and middle income
FRA,2018,9.59,High income
FSM,2018,,Low and middle income
GAB,2018,,Low and middle income
GBR,2018,10.97,High income
GEO,2018,55.77,Low and middle income
GHA,2018,,Low and middle income
GIN,2018,,Low and middle income
GMB,2018,,Low and middle income
GNB,2018,,Low and middle income
GNQ,2018,,Low and middle income
GRC,2018,19.33,High income
GRD,2018,,Low and middle income
GRL,2018,,High income
GTM,2018,,Low and middle income
GUM,2018,,High income
GUY,2018,,Low and middle income
HND,2018,,Low and middle income
HRV,2018,14.8,High income
HTI,2018,,Low and middle income
HUN,2018,,High income
IDN,2018,71.88,Low and middle income
IND,2018,78.83,Low and middle income
IRL,2018,12.88,High income
IRN,2018,65.54,Low and middle income
IRQ,2018,,Low and middle income
ISL,2018,,High income
ISR,2018,,High income
ITA,2018,28.7,High income
JAM,2018,,Low and middle income
JOR,2018,61.9,Low and middle income
JPN,2018,20.12,High income
KAZ,2018,,Low and middle income
KEN,2018,,Low and middle income
KGZ,2018,,Low and middle income
KHM,2018,72.8,Low and middle income
KIR,2018,,Low and middle income
KNA,2018,,High income
KOR,2018,38.63,High income
KWT,2018,,High income
LAO,2018,45.45,Low and middle income
LBN,2018,50.53,Low and middle income
LBR,2018,,Low and middle income
LBY,2018,,Low and middle income
LCA,2018,,Low and middle income
LKA,2018,67.67,Low and middle income
LSO,2018,,Low and middle income
LTU,2018,15.33,High income
LUX,2018,,High income
LVA,2018,20.4,High income
MAR,2018,,Low and middle income
MCO,2018,,High income
MDA,2018,,Low and middle income
MDG,2018,33.33,Low and middle income
MDV,2018,62.96,Low and middle income
MEX,2018,,Low and middle income
MHL,2018,,Low and middle income
MLI,2018,32.05,Low and middle income
MLT,2018,16.37,High income
MMR,2018,84.91,Low and middle income
MNE,2018,,Low and middle income
MNG,2018,,Low and middle income
MNP,2018,,High income
MOZ,2018,,Low and middle income
MRT,2018,,Low and middle income
MSR,2018,,Low and middle income
MUS,2018,,High income
MWI,2018,,Low and middle income
MYS,2018,27.79,Low and middle income
NAM,2018,,Low and middle income
NCL,2018,,High income
NER,2018,,Low and middle income
NGA,2018,81.63,Low and middle income
NIC,2018,,Low and middle income
NIU,2018,,Low and middle income
NLD,2018,7.29,High income
NOR,2018,6.75,High income
NPL,2018,65.33,Low and middle income
NRU,2018,,High income
NZL,2018,,High income
OMN,2018,52.28,High income
PAK,2018,69.2,Low and middle income
PAN,2018,,High income
PER,2018,,Low and middle income
PHL,2018,36.03,Low and middle income
PLW,2018,,High income
PNG,2018,,Low and middle income
POL,2018,17.6,High income
PRI,2018,,High income
PRK,2018,,Low and middle income
PRT,2018,,High income
PRY,2018,,Low and middle income
PYF,2018,,High income
QAT,2018,,High income
ROU,2018,,High income
RUS,2018,66.67,Low and middle income
RWA,2018,,Low and middle income
SAU,2018,54.77,High income
SDN,2018,66.67,Low and middle income
SEN,2018,,Low and middle income
SGP,2018,,High income
SLB,2018,,Low and middle income
SLE,2018,,Low and middle income
SLV,2018,,Low and middle income
SMR,2018,,High income
SOM,2018,,Low and middle income
SRB,2018,,Low and middle income
SSD,2018,,Low and middle income
STP,2018,,Low and middle income
SUR,2018,,Low and middle income
SVK,2018,,High income
SVN,2018,,High income
SWE,2018,8.33,High income
SXM,2018,,High income
SYC,2018,,High income
SYR,2018,,Low and middle income
TCA,2018,,High income
TCD,2018,,Low and middle income
TGO,2018,,Low and middle income
THA,2018,36.42,Low and middle income
TJK,2018,,Low and middle income
TKL,2018,,Low and middle income
TKM,2018,,Low and middle income
TLS,2018,,Low and middle income
TON,2018,,Low and middle income
TTO,2018,,High income
TUN,2018,33.86,Low and middle income
TUR,2018,,Low and middle income
TUV,2018,,Low and middle income
TZA,2018,,Low and middle income
UGA,2018,,Low and middle income
UKR,2018,,Low and middle income
URY,2018,,High income
USA,2018,,High income
UZB,2018,,Low and middle income
VCT,2018,,Low and middle income
VEN,2018,,Low and middle income
VGB,2018,,High income
VNM,2018,,Low and middle income
VUT,2018,,Low and middle income
WLF,2018,,Low and middle income
WSM,2018,,Low and middle income
YEM,2018,,Low and middle income
ZAF,2018,30.45,Low and middle income
ZMB,2018,,Low and middle income
ZWE,2018,,Low and middle income
ABW,2019,,High income
AFG,2019,,Low and middle income
AGO,2019,,Low and middle income
AIA,2019,,Low and middle income
ALB,2019,,Low and middle income
AND,2019,,High income
ARE,2019,46.08,High income
ARG,2019,18.98,Low and middle income
ARM,2019,,Low and middle income
ASM,2019,,Low and middle income
ATG,2019,,High income
AUS,2019,13.29,High income
AUT,2019,9.06,High income
AZE,2019,,Low and middle income
BDI,2019,,Low and middle income
BEL,2019,,High income
BEN,2019,,Low and middle income
BFA,2019,,Low and middle income
BGD,2019,93.1,Low and middle income
BGR,2019,,Low and middle income
BHR,2019,53.81,High income
BHS,2019,,High income
BIH,2019,20.34,Low and middle income
BLR,2019,,Low and middle income
BLZ,2019,,Low and middle income
BMU,2019,,High income
BOL,2019,,Low and middle income
BRA,2019,27.74,Low and middle income
BRB,2019,,High income
BRN,2019,17.24,High income
BTN,2019,56.78,Low and middle income
BWA,2019,,Low and middle income
CAF,2019,,Low and middle income
CAN,2019,,High income
CHE,2019,10.27,High income
CHL,2019,,High income
CHN,2019,,Low and middle income
CMR,2019,,Low and middle income
COD,2019,,Low and middle income
COG,2019,,Low and middle income
COK,2019,,Low and middle income
COL,2019,,Low and middle income
COM,2019,,Low and middle income
CPV,2019,,Low and middle income
CRI,2019,,Low and middle income
CUB,2019,,Low and middle income
CYM,2019,,High income
CYP,2019,19.57,High income
CZE,2019,15.36,High income
DEU,2019,11.46,High income
DJI,2019,,Low and middle income
DMA,2019,,Low and middle income
DNK,2019,,High income
DOM,2019,,Low and middle income
DZA,2019,,Low and middle income
ECU,2019,,Low and middle income
EGY,2019,87.8,Low and middle income
ERI,2019,,Low and middle income
ESP,2019,,High income
EST,2019,,High income
ETH,2019,,Low and middle income
FIN,2019,7.79,High income
FJI,2019,,Low and middle income
FRA,2019,9.07,High income
FSM,2019,,Low and middle income
GAB,2019,,Low and middle income
GBR,2019,11.27,High income
GEO,2019,56.58,Low and middle income
GHA,2019,,Low and middle income
GIN,2019,,Low and middle income
GMB,2019,,Low and middle income
GNB,2019,,Low and middle income
GNQ,2019,,Low and middle income
GRC,2019,21.73,High income
GRD,2019,,Low and middle income
GRL,2019,,High income
GTM,2019,,Low and middle income
GUM,2019,,High income
GUY,2019,,Low and middle income
HND,2019,,Low and middle income
HRV,2019,15.58,High income
HTI,2019,,Low and middle income
HUN,2019,,High income
IDN,2019,70.14,Low and middle income
IND,2019,80.81,Low and middle income
IRL,2019,12.53,High income
IRN,2019,70.32,Low and middle income
IRQ,2019,,Low and middle income
ISL,2019,,High income
ISR,2019,,High income
ITA,2019,33.61,High income
JAM,2019,,Low and middle income
JOR,2019,66.67,Low and middle income
JPN,2019,20.95,High income
KAZ,2019,,Low and middle income
KEN,2019,,Low and middle income
KGZ,2019,,Low and middle income
KHM,2019,71.03,Low and middle income
KIR,2019,,Low and middle income
KNA,2019,,High income
KOR,2019,37.08,High income
KWT,2019,,High income
LAO,2019,50,Low and middle income
LBN,2019,55.33,Low and middle income
LBR,2019,,Low and middle income
LBY,2019,58.33,Low and middle income
LCA,2019,,Low and middle income
LKA,2019,63,Low and middle income
LSO,2019,,Low and middle income
LTU,2019,17.53,High income
LUX,2019,15.65,High income
LVA,2019,18.08,High income
MAR,2019,,Low and middle income
MCO,2019,,High income
MDA,2019,,Low and middle income
MDG,2019,40.54,Low and middle income
MDV,2019,,Low and middle income
MEX,2019,,Low and middle income
MHL,2019,,Low and middle income
MLI,2019,39.74,Low and middle income
MLT,2019,18.16,High income
MMR,2019,77.78,Low and middle income
MNE,2019,,Low and middle income
MNG,2019,,Low and middle income
MNP,2019,,High income
MOZ,2019,28,Low and middle income
MRT,2019,,Low and middle income
MSR,2019,,Low and middle income
MUS,2019,,High income
MWI,2019,,Low and middle income
MYS,2019,27.13,Low and middle income
NAM,2019,,Low and middle income
NCL,2019,,High income
NER,2019,,Low and middle income
NGA,2019,,Low and middle income
NIC,2019,,Low and middle income
NIU,2019,,Low and middle income
NLD,2019,7.22,High income
NOR,2019,5.52,High income
NPL,2019,77.27,Low and middle income
NRU,2019,,High income
NZL,2019,,High income
OMN,2019,54.68,High income
PAK,2019,88.87,Low and middle income
PAN,2019,,High income
PER,2019,,Low and middle income
PHL,2019,39.93,Low and middle income
PLW,2019,,High income
PNG,2019,,Low and middle income
POL,2019,18.02,High income
PRI,2019,,High income
PRK,2019,,Low and middle income
PRT,2019,,High income
PRY,2019,,Low and middle income
PYF,2019,,High income
QAT,2019,48.92,High income
ROU,2019,,High income
RUS,2019,58.26,Low and middle income
RWA,2019,,Low and middle income
SAU,2019,57.26,High income
SDN,2019,,Low and middle income
SEN,2019,,Low and middle income
SGP,2019,28.69,High income
SLB,2019,,Low and middle income
SLE,2019,,Low and middle income
SLV,2019,,Low and middle income
SMR,2019,,High income
SOM,2019,,Low and middle income
SRB,2019,,Low and middle income
SSD,2019,,Low and middle income
STP,2019,,Low and middle income
SUR,2019,,Low and middle income
SVK,2019,,High income
SVN,2019,,High income
SWE,2019,7.62,High income
SXM,2019,,High income
SYC,2019,,High income
SYR,2019,,Low and middle income
TCA,2019,,High income
TCD,2019,,Low and middle income
TGO,2019,,Low and middle income
THA,2019,37.26,Low and middle income
TJK,2019,,Low and middle income
TKL,2019,,Low and middle income
TKM,2019,,Low and middle income
TLS,2019,,Low and middle income
TON,2019,,Low and middle income
TTO,2019,,High income
TUN,2019,36.11,Low and middle income
TUR,2019,,Low and middle income
TUV,2019,,Low and middle income
TZA,2019,,Low and middle income
UGA,2019,60,Low and middle income
UKR,2019,,Low and middle income
URY,2019,,High income
USA,2019,,High income
UZB,2019,,Low and middle income
VCT,2019,,Low and middle income
VEN,2019,,Low and middle income
VGB,2019,,High income
VNM,2019,,Low and middle income
VUT,2019,,Low and middle income
WLF,2019,,Low and middle income
WSM,2019,,Low and middle income
YEM,2019,,Low and middle income
ZAF,2019,30.74,Low and middle income
ZMB,2019,63.38,Low and middle income
ZWE,2019,,Low and middle income
